,0
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,0
9,0
10,0
11,1
12,1
13,1
14,1
15,1
16,1
17,0
18,0
19,0
20,0
21,0
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,0
33,0
34,0
35,1
36,0
37,1
38,1
39,1
40,1
41,0
42,0
43,0
44,0
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,0
55,0
56,1
57,0
58,1
59,1
60,0
61,0
62,0
63,0
64,1
65,0
66,0
67,1
68,0
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,0
79,1
80,0
81,0
82,0
83,0
84,1
85,1
86,1
87,1
88,0
89,0
90,1
91,0
92,0
93,1
94,1
95,0
96,1
97,1
98,1
99,0
100,1
101,1
102,0
103,0
104,0
105,0
106,1
107,0
108,1
109,1
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,0
126,0
127,0
128,1
129,0
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,0
138,0
139,0
140,0
141,0
142,1
143,1
144,1
145,1
146,0
147,0
148,0
149,0
150,0
151,1
152,1
153,0
154,0
155,1
156,1
157,0
158,0
159,0
160,0
161,0
162,1
163,1
164,0
165,0
166,1
167,1
168,1
169,1
170,0
171,1
172,1
173,1
174,0
175,0
176,1
177,1
178,0
179,0
180,1
181,0
182,0
183,0
184,1
185,0
186,0
187,0
188,0
189,1
190,1
191,1
192,0
193,1
194,0
195,1
196,0
197,1
198,1
199,1
200,0
201,0
202,0
203,1
204,1
205,1
206,1
207,1
208,0
209,0
210,0
211,0
212,0
213,1
214,1
215,1
216,1
217,1
218,1
219,0
220,1
221,1
222,1
223,0
224,1
225,0
226,0
227,0
228,1
229,1
230,0
231,1
232,0
233,0
234,0
235,0
236,0
237,1
238,1
239,1
240,0
241,1
242,1
243,1
244,1
245,1
246,1
247,0
248,0
249,0
250,0
251,1
252,1
253,1
254,1
255,1
256,0
257,0
258,1
259,0
260,0
261,0
262,1
263,0
264,1
265,1
266,1
267,1
268,1
269,1
270,0
271,0
272,0
273,0
274,1
275,0
276,1
277,0
278,0
279,1
280,0
281,0
282,0
283,0
284,1
285,1
286,1
287,1
288,1
289,0
290,1
291,1
292,1
293,0
294,1
295,1
296,0
297,0
298,0
299,1
300,1
301,0
302,1
303,1
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,1
312,1
313,0
314,1
315,1
316,1
317,0
318,0
319,1
320,0
321,0
322,0
323,1
324,0
325,0
326,0
327,0
328,1
329,0
330,0
331,0
332,0
333,1
334,0
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,0
343,0
344,0
345,0
346,0
347,0
348,1
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,1
357,1
358,0
359,0
360,1
361,0
362,1
363,0
364,1
365,0
366,0
367,0
368,0
369,0
370,0
371,1
372,1
373,0
374,0
375,0
376,1
377,0
378,1
379,0
380,0
381,1
382,0
383,1
384,1
385,1
386,1
387,0
388,1
389,1
390,1
391,0
392,0
393,1
394,0
395,0
396,1
397,1
398,1
399,1
400,1
401,0
402,0
403,0
404,0
405,0
406,0
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,0
417,0
418,0
419,0
420,1
421,0
422,0
423,0
424,1
425,0
426,0
427,0
428,0
429,0
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,0
440,0
441,0
442,0
443,0
444,1
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,1
454,0
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,0
464,0
465,0
466,1
467,0
468,1
469,0
470,1
471,1
472,1
473,0
474,0
475,0
476,0
477,0
478,0
479,1
480,1
481,1
482,0
483,0
484,1
485,1
486,0
487,0
488,0
489,1
490,1
491,1
492,0
493,1
494,1
495,0
496,0
497,0
498,0
499,0
500,0
501,1
502,0
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,0
511,0
512,0
513,0
514,1
515,1
516,0
517,1
518,1
519,1
520,0
521,0
522,0
523,0
524,0
525,1
526,0
527,1
528,0
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,0
537,0
538,1
539,0
540,0
541,0
542,1
543,1
544,0
545,0
546,0
547,0
548,0
549,1
550,1
551,1
552,0
553,1
554,1
555,1
556,1
557,1
558,1
559,0
560,0
561,0
562,0
563,0
564,1
565,1
566,1
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,1
575,0
576,1
577,1
578,1
579,1
580,1
581,1
582,0
583,0
584,0
585,0
586,1
587,1
588,0
589,0
590,1
591,1
592,0
593,1
594,0
595,0
596,0
597,1
598,0
599,1
600,0
601,1
602,1
603,1
604,0
605,0
606,0
607,1
608,0
609,1
610,0
611,0
612,1
613,1
614,1
615,1
616,0
617,0
618,0
619,0
620,0
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,0
629,1
630,0
631,1
632,0
633,0
634,0
635,1
636,1
637,1
638,1
639,1
640,1
641,0
642,0
643,0
644,0
645,1
646,0
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,0
655,1
656,0
657,1
658,0
659,1
660,1
661,0
662,1
663,0
664,1
665,0
666,0
667,0
668,0
669,1
670,1
671,1
672,0
673,1
674,0
675,1
676,1
677,0
678,1
679,1
680,1
681,1
682,1
683,1
684,0
685,1
686,1
687,0
688,0
689,0
690,0
691,1
692,0
693,1
694,0
695,0
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,0
704,0
705,1
706,1
707,0
708,1
709,0
710,0
711,0
712,1
713,0
714,0
715,0
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,0
724,1
725,1
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,1
735,1
736,0
737,1
738,0
739,0
740,0
741,0
742,1
743,1
744,1
745,1
746,1
747,0
748,0
749,1
750,0
751,1
752,0
753,0
754,0
755,0
756,1
757,1
758,1
759,1
760,0
761,0
762,0
763,0
764,0
765,0
766,1
767,1
768,0
769,1
770,1
771,1
772,1
773,1
774,1
775,0
776,0
777,1
778,1
779,0
780,0
781,0
782,1
783,1
784,0
785,0
786,0
787,0
788,0
789,1
790,0
791,1
792,1
793,0
794,1
795,1
796,1
797,1
798,1
799,1
800,0
801,0
802,0
803,0
804,0
805,0
806,1
807,0
808,0
809,0
810,0
811,0
812,0
